BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
10142530,GW004264.1.1,525.2,525.7,-395.2,-395.7,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,526.7,527.2,-396.7,-397.2,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,553.5,554.0,-423.5,-424.0,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,554.1,554.6,-424.1,-424.6,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,557.2,557.7,-427.2,-427.7,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,560.5,561.0,-430.5,-431.0,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,611.1,611.6,-481.1,-481.6,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,612.3,612.8,-482.3,-482.8,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,616.9,617.4,-486.9,-487.4,INLT,UNK,,102.0,UNK,,UNK,1,
10142530,GW004264.1.1,618.1,618.6,-488.1,-488.6,INLT,UNK,,102.0,UNK,,UNK,1,
10144080,GW004279.1.1,0.0,386.2,120.54,-265.66,LIN,UNK,,152.0,UNK,,UNK,1,
10144080,GW004279.1.1,0.0,102.7,120.54,17.84,LIN,UNK,,203.0,UNK,,UNK,1,
10144080,GW004279.1.1,0.0,32.1,120.54,88.44,LIN,UNK,,254.0,UNK,,UNK,1,
10143978,GW014488.1.1,0.0,150.0,126.23,-23.77,LIN,UNK,,203.0,UNK,,UNK,1,
10143978,GW014488.1.1,0.0,487.4,126.23,-361.17,LIN,UNK,,152.0,UNK,,UNK,1,
10143978,GW014488.1.1,0.0,487.4,126.23,-361.17,LIN,UNK,,203.0,UNK,,UNK,1,
10103541,GW017608.1.1,0.0,62.1,101.0,38.9,LIN,UNK,,152.0,UNK,,UNK,1,
10131431,GW004148.1.1,0.0,84.4,98.92,14.52,LIN,UNK,,127.0,UNK,,UNK,1,
10131431,GW004148.1.1,0.0,228.6,98.92,-129.68,LIN,UNK,,152.0,UNK,,UNK,1,
10131431,GW004148.1.1,0.0,45.7,98.92,53.22,LIN,UNK,,203.0,UNK,,UNK,1,
10145281,GW004150.1.1,0.0,177.5,94.74,-82.76,LIN,UNK,,102.0,UNK,,UNK,1,
10145281,GW004150.1.1,0.0,179.8,94.74,-85.06,LIN,UNK,,152.0,UNK,,UNK,1,
10137328,GW012184.1.1,0.0,83.9,105.0,21.1,LIN,UNK,,152.0,UNK,,UNK,1,
10066063,GW005662.1.1,0.0,96.3,90.0,-6.3,LIN,UNK,,,UNK,,UNK,1,
10135500,GW012480.1.1,0.0,274.3,116.96,-157.34,LIN,UNK,,152.0,UNK,,UNK,1,
10135500,GW012480.1.1,0.0,122.2,116.96,-5.24,LIN,UNK,,203.0,UNK,,UNK,1,
10135500,GW012480.1.1,0.0,122.2,116.96,-5.24,LIN,UNK,,203.0,UNK,,UNK,1,
10107226,GW004167.1.1,0.0,67.2,91.58,24.38,LIN,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,0.0,49.4,91.58,42.18,LIN,UNK,,152.0,UNK,,UNK,1,
10107226,GW004167.1.1,0.0,64.7,91.58,26.88,LIN,UNK,,203.0,UNK,,UNK,1,
