BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
10027847.0,GW017456.1.1,0.0,6.4,72.0,65.6,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10027847.0,GW017456.1.1,6.4,7.62,65.6,64.38,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Sand,UNK,UNK,,,-999999,
10027847.0,GW017456.1.1,7.62,21.34,64.38,50.66,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10027847.0,GW017456.1.1,21.34,25.91,50.66,46.09,11000016.0,105002.0,105002.0,"Blanchetown Clay
",Clay,UNK,UNK,,"Blanchetown Clay
",1918,
10027847.0,GW017456.1.1,25.91,27.43,46.09,44.57,11000016.0,105002.0,105002.0,"Blanchetown Clay
",Clay,UNK,UNK,,"Blanchetown Clay
",1918,
10027847.0,GW017456.1.1,27.43,32.92,44.57,39.08,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10027847.0,GW017456.1.1,27.43,32.92,44.57,39.08,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10027847.0,GW017456.1.1,32.92,35.05,39.08,36.95,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10027847.0,GW017456.1.1,32.92,35.05,39.08,36.95,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10027847.0,GW017456.1.1,35.05,43.28,36.95,28.72,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sandstone,UNK,UNK,,Loxton Sand,10825,
10027847.0,GW017456.1.1,35.05,43.28,36.95,28.72,11000023.0,110007.0,110008.0,Renmark Group,Sandstone,UNK,UNK,,Renmark Group,16036,
10028598.0,GW057138.1.1,0.0,1.2,71.1,69.9,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10028598.0,GW057138.1.1,1.2,10.1,69.9,61.0,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10028598.0,GW057138.1.1,10.1,11.0,61.0,60.1,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10028598.0,GW057138.1.1,10.1,11.0,61.0,60.1,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10028598.0,GW057138.1.1,11.0,20.4,60.1,50.7,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10028598.0,GW057138.1.1,11.0,20.4,60.1,50.7,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10028598.0,GW057138.1.1,20.4,35.7,50.7,35.4,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10028598.0,GW057138.1.1,20.4,35.7,50.7,35.4,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10028598.0,GW057138.1.1,35.7,40.5,35.4,30.6,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10028598.0,GW057138.1.1,35.7,40.5,35.4,30.6,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10028598.0,GW057138.1.1,40.5,41.8,30.6,29.3,11000024.0,115028.0,115024.0,"Lower Renmark Group
",Sand,UNK,UNK,,Renmark Group,16036,
10028598.0,GW057138.1.1,41.8,42.7,29.3,28.4,11000024.0,115028.0,115024.0,"Lower Renmark Group
",Clay,UNK,UNK,,Renmark Group,16036,
10032308.0,GW035058.1.1,0.0,0.45,74.0,73.55,11000014.0,104011.0,104010.0,Shepparton Formation,Topsoil,UNK,UNK,,Shepparton Formation,25474,
10032308.0,GW035058.1.1,0.45,3.04,73.55,70.96,11000014.0,104011.0,104010.0,Shepparton Formation,Clay,UNK,UNK,,Shepparton Formation,25474,
10032308.0,GW035058.1.1,3.04,10.66,70.96,63.34,11000014.0,104011.0,104010.0,Shepparton Formation,(Unknown),UNK,UNK,,Shepparton Formation,25474,
10032308.0,GW035058.1.1,10.66,17.98,63.34,56.02,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sandstone,UNK,UNK,,Loxton Sand,10825,
